id,conversation_id,role,participantable_id,participantable_type,exited_at,last_active_at,conversation_cleared_at,conversation_deleted_at,conversation_read_at,deleted_at,created_at,updated_at
100,50,owner,422413,App\Models\Customer,,,,,,,2025-12-21 15:02:38,2025-12-21 15:02:38
101,51,owner,1,App\Models\User,,,,,,,2025-12-21 15:30:12,2025-12-21 15:30:12
102,51,owner,434533,App\Models\Customer,,,,,,,2025-12-21 15:30:12,2025-12-21 15:30:12
103,52,owner,1,App\Models\User,,,,,,,2025-12-21 15:47:51,2025-12-21 15:47:51
104,52,owner,673608,App\Models\Customer,,,,,,,2025-12-21 15:47:51,2025-12-21 15:47:51
105,53,owner,1,App\Models\User,,,,,,,2025-12-21 16:25:12,2025-12-21 16:25:12
106,53,owner,673609,App\Models\Customer,,,,,,,2025-12-21 16:25:12,2025-12-21 16:25:12
107,54,owner,1,App\Models\User,,,,,,,2025-12-21 16:47:30,2025-12-21 16:47:30
108,54,owner,673610,App\Models\Customer,,,,,,,2025-12-21 16:47:30,2025-12-21 16:47:30
109,55,owner,1,App\Models\User,,,,,,,2025-12-21 17:32:01,2025-12-21 17:32:01
110,55,owner,415003,App\Models\Customer,,,,,,,2025-12-21 17:32:01,2025-12-21 17:32:01
111,56,owner,1,App\Models\User,,,,,,,2025-12-21 17:55:25,2025-12-21 17:55:25
112,56,owner,673612,App\Models\Customer,,,,,,,2025-12-21 17:55:25,2025-12-21 17:55:25
113,57,owner,1,App\Models\User,,,,,,,2025-12-21 18:38:33,2025-12-21 18:38:33
114,57,owner,178785,App\Models\Customer,,,,,,,2025-12-21 18:38:33,2025-12-21 18:38:33
115,58,owner,1,App\Models\User,,2025-12-21 21:54:13,,,2025-12-21 21:54:13,,2025-12-21 19:42:26,2025-12-21 21:54:13
116,58,owner,673616,App\Models\Customer,,,,,,,2025-12-21 19:42:26,2025-12-21 19:42:26
117,59,owner,1,App\Models\User,,2025-12-21 21:54:03,,,2025-12-21 21:54:03,,2025-12-21 20:14:14,2025-12-21 21:54:03
118,59,owner,673618,App\Models\Customer,,,,,,,2025-12-21 20:14:14,2025-12-21 20:14:14
119,60,owner,1,App\Models\User,,2025-12-21 21:53:10,,,2025-12-21 21:53:10,,2025-12-21 20:49:32,2025-12-21 21:53:10
120,60,owner,159487,App\Models\Customer,,,,,,,2025-12-21 20:49:32,2025-12-21 20:49:32
121,61,owner,1,App\Models\User,,2025-12-21 21:53:41,,,2025-12-21 21:53:41,,2025-12-21 21:09:40,2025-12-21 21:53:41
