[2025-12-19 15:30:20] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/668230/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T20:30:20.855Z"} 
[2025-12-19 15:30:30] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/668230/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T20:30:30.539Z"} 
[2025-12-19 15:30:48] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/668230/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T20:30:48.205Z"} 
[2025-12-19 15:31:10] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/668230/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T20:31:10.867Z"} 
[2025-12-19 15:34:42] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/668230/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T20:34:42.542Z"} 
[2025-12-19 15:34:49] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/668230/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T20:34:49.612Z"} 
[2025-12-19 15:35:14] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/668230/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T20:35:13.957Z"} 
[2025-12-19 15:35:23] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/668230/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T20:35:23.887Z"} 
[2025-12-19 15:49:53] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/668230/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T20:49:53.885Z"} 
[2025-12-19 15:50:19] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/667386/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T20:50:19.829Z"} 
[2025-12-19 16:17:03] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/667386/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T21:17:03.439Z"} 
[2025-12-19 16:17:05] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/667386/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T21:17:05.162Z"} 
[2025-12-19 16:17:30] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/667386/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T21:17:30.103Z"} 
[2025-12-19 16:17:46] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/667386/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T21:17:46.074Z"} 
[2025-12-19 16:17:58] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/668230/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T21:17:58.588Z"} 
[2025-12-19 16:18:44] local.DEBUG: validando Pvq26tPyrMIFw8RV0e04BbZcjCPJqN7WUfTttJY4 {"url":"http://127.0.0.1:8000/customers/668230/show","user_agent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","timestamp":"2025-12-19T21:18:44.201Z"} 
