profile,shortcode,visible_views,url,source
emaq_industrial,CwViTT-pw52,"6,926",https://www.instagram.com/emaq_industrial/reel/CwViTT-pw52/,instagram_reels_grid_chrome
emaq_industrial,Cv8AefbJ-06,"4,819",https://www.instagram.com/emaq_industrial/reel/Cv8AefbJ-06/,instagram_reels_grid_chrome
emaq_industrial,CsemhzGpzAz,"5,890",https://www.instagram.com/emaq_industrial/reel/CsemhzGpzAz/,instagram_reels_grid_chrome
emaq_industrial,Cqp42KhNOCV,25.2K,https://www.instagram.com/emaq_industrial/reel/Cqp42KhNOCV/,instagram_reels_grid_chrome
emaq_industrial,CnSsSG_NRCW,"5,509",https://www.instagram.com/emaq_industrial/reel/CnSsSG_NRCW/,instagram_reels_grid_chrome
emaq_industrial,CmcSMM8NqMd,"4,939",https://www.instagram.com/emaq_industrial/reel/CmcSMM8NqMd/,instagram_reels_grid_chrome
emaq_industrial,ClOmynXsApO,"5,816",https://www.instagram.com/emaq_industrial/reel/ClOmynXsApO/,instagram_reels_grid_chrome
emaq_industrial,ClEcJEMJaBe,"4,760",https://www.instagram.com/emaq_industrial/reel/ClEcJEMJaBe/,instagram_reels_grid_chrome
emaq_industrial,ClCGeYip8X2,"5,525",https://www.instagram.com/emaq_industrial/reel/ClCGeYip8X2/,instagram_reels_grid_chrome
emaq_industrial,CjoutX1vwLI,"6,037",https://www.instagram.com/emaq_industrial/reel/CjoutX1vwLI/,instagram_reels_grid_chrome
metalurgicavazquez,DP2BywzEugn,3M,https://www.instagram.com/metalurgicavazquez/reel/DP2BywzEugn/,instagram_reels_grid_chrome
metalurgicavazquez,DQNXQvcAABa,8M,https://www.instagram.com/metalurgicavazquez/reel/DQNXQvcAABa/,instagram_reels_grid_chrome
metalurgicavazquez,DPzlmXij-0u,3.4M,https://www.instagram.com/metalurgicavazquez/reel/DPzlmXij-0u/,instagram_reels_grid_chrome
metalurgicavazquez,DXmPxHxjT53,78K,https://www.instagram.com/metalurgicavazquez/reel/DXmPxHxjT53/,instagram_reels_grid_chrome
metalurgicavazquez,DXcQ78UjWfh,10.1K,https://www.instagram.com/metalurgicavazquez/reel/DXcQ78UjWfh/,instagram_reels_grid_chrome
metalurgicavazquez,DXUICK4DTsW,71.3K,https://www.instagram.com/metalurgicavazquez/reel/DXUICK4DTsW/,instagram_reels_grid_chrome
metalurgicavazquez,DXO2W8lCkl1,454K,https://www.instagram.com/metalurgicavazquez/reel/DXO2W8lCkl1/,instagram_reels_grid_chrome
metalurgicavazquez,DXKq6lACj99,279K,https://www.instagram.com/metalurgicavazquez/reel/DXKq6lACj99/,instagram_reels_grid_chrome
metalurgicavazquez,DXHSPOkI163,137K,https://www.instagram.com/metalurgicavazquez/reel/DXHSPOkI163/,instagram_reels_grid_chrome
metalurgicavazquez,DW9thp-igvM,40.8K,https://www.instagram.com/metalurgicavazquez/reel/DW9thp-igvM/,instagram_reels_grid_chrome
metalurgicavazquez,DWuTSLKimec,366K,https://www.instagram.com/metalurgicavazquez/reel/DWuTSLKimec/,instagram_reels_grid_chrome
metalurgicavazquez,DWokspJIru-,16.3K,https://www.instagram.com/metalurgicavazquez/reel/DWokspJIru-/,instagram_reels_grid_chrome
metalurgicavazquez,DWjbowwoy3R,49.3K,https://www.instagram.com/metalurgicavazquez/reel/DWjbowwoy3R/,instagram_reels_grid_chrome
metalurgicavazquez,DWcXfXXj4tL,154K,https://www.instagram.com/metalurgicavazquez/reel/DWcXfXXj4tL/,instagram_reels_grid_chrome
metalurgicavazquez,DWWTKn1jacL,"9,093",https://www.instagram.com/metalurgicavazquez/reel/DWWTKn1jacL/,instagram_reels_grid_chrome
metalurgicavazquez,DWRVCDejYlB,67.8K,https://www.instagram.com/metalurgicavazquez/reel/DWRVCDejYlB/,instagram_reels_grid_chrome
metalurgicavazquez,DWOryC_jTBK,491K,https://www.instagram.com/metalurgicavazquez/reel/DWOryC_jTBK/,instagram_reels_grid_chrome
metalurgicavazquez,DWJtRboDVtY,37.8K,https://www.instagram.com/metalurgicavazquez/reel/DWJtRboDVtY/,instagram_reels_grid_chrome
metalurgicavazquez,DWJjwBJjTVb,237K,https://www.instagram.com/metalurgicavazquez/reel/DWJjwBJjTVb/,instagram_reels_grid_chrome
metalurgicavazquez,DWG-CfvDRnm,12.6K,https://www.instagram.com/metalurgicavazquez/reel/DWG-CfvDRnm/,instagram_reels_grid_chrome
metalurgicavazquez,DWEakfejTyq,19.3K,https://www.instagram.com/metalurgicavazquez/reel/DWEakfejTyq/,instagram_reels_grid_chrome
metalurgicavazquez,DWAAbh6marp,19.8K,https://www.instagram.com/metalurgicavazquez/reel/DWAAbh6marp/,instagram_reels_grid_chrome
metalurgicavazquez,DV9NNR5D6fR,18.2K,https://www.instagram.com/metalurgicavazquez/reel/DV9NNR5D6fR/,instagram_reels_grid_chrome
metalurgicavazquez,DV1SN-cAPin,156K,https://www.instagram.com/metalurgicavazquez/reel/DV1SN-cAPin/,instagram_reels_grid_chrome
